,MINERAL_DEPOSIT_NO,DEPOSIT_NAME,COMMODITY_CODE,COMMODITY_NAME,COMMODITY_CONFIDENCE,SIGNIFICANCE,SITE_NO,EASTING_GDA2020,NORTHING_GDA2020,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,LONGITUDE_GDA94,LATITUDE_GDA94,flag
5202,6609,MOORLANDS B,COAL,Coal,,MAJOR,479755,374800.64,6099351.47,54,139.6239731,-35.241102500000004,139.6239626,-35.241088500000004,0
3284,4362,LEIGH CREEK LOBE D,COAL,Coal,,MAJOR,477505,249420.83,6633821.54,54,138.3917905,-30.401633399999998,138.3917804,-30.401619300000004,0
6160,7628,MIGGA KATARAPKO,SAND,Sand,,MAJOR,831057,456180.65,6199351.45,54,140.523557,-34.346224600000006,140.52354640000001,-34.346210600000006,0
5394,6855,E.F. CLIFTON,Au,Gold,,MAJOR,480001,318590.71,6145388.11,54,139.01651919999998,-34.8176245,139.01650880000003,-34.8176104,0
8445,9519,PILTIMITIAPPA,Au,Gold,,MAJOR,1803869,325918.65,6313802.55,54,139.1302513,-33.300828499999994,139.13024099999998,-33.3008144,0
4361,5668,HOSPITAL HILL,Au,Gold,,MAJOR,478813,376315.67,6430551.51,54,139.6869562,-32.2549185,139.68694580000002,-32.254904499999995,0
8302,9392,AUREOUS SOUTH,Au,Gold,,MAJOR,1765925,319407.16,6371349.5,54,139.0716883,-32.7809615,139.071678,-32.7809474,0
6177,7646,ALVANOS,SAND,Sand,,MAJOR,831085,469970.67,6229771.45,54,140.674548,-34.0723746,140.67453740000002,-34.0723606,0
8235,9335,KARANA,Ag,Silver,,MAJOR,1765725,533110.7,6244411.56,53,135.35829180000002,-33.9402463,135.3582821,-33.9402321,1
1455,1698,CLIFTON ALLUVIALS,Au,Gold,,MAJOR,239791,320100.69,6176541.46,54,139.03965019999998,-34.5371195,139.0396398,-34.5371054,0
8389,9472,PINKAWILLINIE,Pb,Lead,,MAJOR,1770349,555110.78,6356671.51,53,135.5894608,-32.9268213,135.5894511,-32.9268071,0
5862,7385,HEATHERDALE,PHOS,Phosphate,,MAJOR,2059022,267604.93,6082694.76,54,138.4419002,-35.3720285,138.4418899,-35.3720144,0
10698,11523,PASO,Au,Gold,,MAJOR,2078457,342829.78,6639572.75,53,133.3644912,-30.3655563,133.36448190000002,-30.365542100000003,0
5579,7111,COWELL JADE 43,JADE,Jade,,MAJOR,480257,679800.7,6292581.53,53,136.9353856,-33.491189399999996,136.93537560000001,-33.4911753,0
9843,10747,PITT,GYPS,Gypsum,,MAJOR,2015551,734199.47,6120608.73,53,137.56716740000002,-35.0300764,137.56715730000002,-35.0300623,0
3394,4491,DOME ROCK CENTRAL,Cu,Copper,,MAJOR,477635,447900.69,6472701.47,54,140.44914219999998,-31.8802845,140.44913169999998,-31.8802705,0
8509,9575,ETHEL,Cu,Copper,,MAJOR,1804299,758583.91,6169326.03,53,137.8191874,-34.5853464,137.81917719999998,-34.5853323,0
6328,7791,CROWELL NORTH,SAND,Sand,,MAJOR,832592,771580.36,6203941.5,53,137.9497364,-34.2702364,137.9497262,-34.2702223,0
4399,5737,VIRGINIA,Au,Gold,,MAJOR,478882,428210.61,6398971.54,54,140.2354231,-32.5443085,140.2354126,-32.5442945,0
4530,5851,MONTACUTE HEIGHTS,Ag,Silver,,MAJOR,478996,295950.73,6136321.55,54,138.7669292,-34.8950355,138.7669189,-34.8950214,1
9840,10744,DIENOFF DAM,MHEM,Micaceous Hematite,,MAJOR,2015548,717973.85,6380028.92,53,137.3251606,-32.6959534,137.3251506,-32.6959393,0
4292,5567,SLEEPS HILL,QTZE,Quartzite,,MAJOR,478711,281443.02,6123731.84,54,138.6049802,-35.0054445,138.60496990000001,-35.0054304,0
5111,6502,BUNKERS NORTH,Cu,Copper,,MAJOR,479648,299450.7,6543841.52,54,138.8945794,-31.222382500000002,138.89456919999998,-31.222368499999998,0
6940,8324,BREAKNECK HILL,FEORE,Iron Ore,,MAJOR,1082828,320720.65,6181631.52,54,139.04747319999998,-34.4913515,139.0474628,-34.4913374,0
10440,11296,MOUNT HARDY,MIC,Mica,,MINOR,2047374,587654.6,7090727.06,52,129.87809170000003,-26.300611199999995,129.8780829,-26.300596999999996,0
94,111,RUSSOS FOLLY,OPAL,Opal,,MAJOR,209682,463589.41,6791043.49,53,134.6261461,-29.0082433,134.6261366,-29.0082291,0
7330,8613,PINE CREEK,SAND,Sand,,MAJOR,1198833,693900.65,6372451.54,53,137.07010060000002,-32.7687594,137.0700906,-32.7687453,0
4538,5857,LUDLOW,Au,Gold,,MINOR,479002,299250.7,6148731.55,54,138.80599019999997,-34.783866499999995,138.80597980000002,-34.7838524,0
2501,3500,FOUR NATIONS,OPAL,Opal,,MAJOR,476643,708730.71,6631201.46,53,137.17343369999998,-30.433232399999998,137.17342380000002,-30.433218300000004,0
9282,10259,COOTHADIE CREEK,SDST,Sandstone,,MAJOR,1987993,276650.74,6348611.5,54,138.6099624,-32.9780355,138.60995219999998,-32.978021399999996,0
6899,8291,JOES DAM WEST,Fe,Iron,,MAJOR,1081608,542200.81,6718201.49,53,135.436094,-29.665482300000004,135.4360844,-29.665468199999996,0
463,468,MANGALO,Pb,Lead,,MAJOR,1988112,633882.67,6274156.43,53,136.4440457,-33.6640564,136.4440358,-33.6640423,0
10980,11780,WUNKAR NORTH,HMIN,Heavy Minerals,,MAJOR,2096644,425145.63,6195261.5,54,140.18578380000002,-34.3813276,140.18577319999997,-34.3813136,0
10917,11718,AUNGER,CALI,Calcrete,,MAJOR,2096115,479459.11,6197197.1,54,140.77660690000002,-34.3663766,140.77659619999997,-34.3663626,0
10037,10931,DEEP WELL PLAIN NO.4,CLAY,Clay,,MAJOR,2016544,306255.77,6391149.87,54,138.9354523,-32.6002225,138.935442,-32.6002084,0
669,642,OLD WOOKONGARIE,Au,Gold,,MAJOR,210209,312940.68,6312651.5,54,138.99069330000003,-33.3090295,138.99068300000002,-33.3090154,0
2581,3588,NEW EMILY,Au,Gold,,MAJOR,476731,307320.67,6159871.52,54,138.8966802,-34.6850335,138.8966698,-34.685019399999995,0
1664,1936,MOUNT BILLY A,Cu,Copper,,MAJOR,251945,287520.74,6524211.48,54,138.76523740000002,-31.3972545,138.7652272,-31.397240399999998,0
4930,6314,ARKABA CREEK,Cu,Copper,,MAJOR,479460,263840.79,6485171.56,54,138.50702040000002,-31.7445744,138.5070102,-31.7445603,0
6197,7665,KRUSE WHITE,LMST,Limestone,,MINOR,831117,306520.74,6247071.48,54,138.9075363,-33.899001500000004,138.907526,-33.8989874,0
9177,10165,INGRAM GAP NO.2,SDST,Sandstone,,MAJOR,1983667,238232.07,6278827.13,54,138.17907340000002,-33.5981874,138.1790632,-33.59817329999999,0
2067,3130,TWO MUGS,Au,Gold,,MAJOR,374609,506545.8,6560154.48,53,135.068633,-31.092411300000002,135.0686234,-31.092397100000003,0
2146,3194,TOP WELL,Cu,Copper,,MAJOR,424996,315422.71,6585479.55,54,139.06976540000002,-30.849525500000002,139.0697552,-30.8495115,0
2250,3316,CASTAMBUL ESTATE,Cu,Copper,,MAJOR,476458,293548.81,6139285.1,54,138.74139219999998,-34.867846500000006,138.74138190000002,-34.8678324,0
10360,11226,ANNA CREEK,MSLT,Metasiltstone,,MAJOR,2025994,609354.58,6812476.66,53,136.12066289999999,-28.8106533,136.1206532,-28.8106392,0
9423,10379,MAC 670,LMST,Limestone,,MAJOR,1997100,468760.61,5793061.48,54,140.64414169999998,-38.009587599999996,140.64413080000003,-38.0095736,0
1506,1738,BALD HILL SIBLEYS,MARB,Marble,?,MINOR,239750,320191.56,6178328.34,54,139.04101719999997,-34.5210305,139.04100680000002,-34.5210164,0
4342,5635,IRONCLAD EAST,Au,Gold,,MAJOR,478780,376770.64,6429531.46,54,139.6916532,-32.2641685,139.6916428,-32.2641545,0
10899,11701,CORNISH HILL,Fe,Iron,,MAJOR,2096072,442921.67,6437612.45,54,140.3944201,-32.1965925,140.3944096,-32.196578499999994,0
8397,9477,SAMPHIRE,U,Uranium,,MAJOR,1770536,722800.59,6324401.44,53,137.3900695,-33.196338399999995,137.3900595,-33.1963243,0
5948,7451,SLOANS,SIS,Silica sand,,MAJOR,830580,342660.65,6088901.48,54,139.2688571,-35.3307565,139.2688466,-35.3307424,0
2564,3575,CROMER C NORTH,KAO,Kaolin,,MAJOR,476718,315550.7,6154951.46,54,138.98539519999997,-34.7308915,138.98538480000002,-34.7308774,0
10982,11782,MERRITTS,HMIN,Heavy Minerals,,MAJOR,2096646,431972.55,6207829.76,54,140.261031,-34.2684625,140.2610204,-34.2684485,0
2208,3259,INDOOROOPILLY BORE,Au,Gold,,MAJOR,453726,351630.79,6709571.51,53,133.4658122,-29.7351923,133.4658029,-29.735178100000002,0
9776,10689,ALTUS,MSLT,Metasiltstone,,MAJOR,2011114,297680.69,6202391.49,54,138.8015993,-34.300003499999995,138.80158899999998,-34.299989399999994,0
9480,10425,MOUNT COFFIN EAST,Cu,Copper,,MAJOR,1997231,262630.84,6621721.56,54,138.52642350000002,-30.513394399999996,138.5264134,-30.5133803,0
10947,11748,MANTUNG,SAND,Sand,,MAJOR,2096588,418932.2,6174633.01,54,140.116246,-34.5668695,140.1162354,-34.5668555,0
3440,4555,CHAPMANS GULLY,Au,Gold,,MAJOR,477699,297000.19,6115400.78,54,138.77330519999998,-35.0837555,138.7732948,-35.0837414,0
4099,5371,KINGSTON LIGNITE,COAL,Coal,,MAJOR,478515,410075.43,5943410.88,54,139.9939389,-36.650639500000004,139.9939282,-36.650625500000004,0
10054,10948,ERSKINE NO.4,MSLT,Metasiltstone,,MAJOR,2016572,290419.05,6353501.21,54,138.7583083,-32.9366945,138.7582981,-32.9366804,0
9221,10207,PERLUBIE,LSND,Lime sand,,MAJOR,1984436,434240.72,6384821.54,53,134.298647,-32.672319300000005,134.2986375,-32.6723051,0
10940,11741,MELROSE FARM,CALI,Calcrete,,MAJOR,2096581,366197.18,6097957.44,54,139.5292151,-35.2525565,139.52920459999999,-35.2525424,0
10471,11324,CUMBERLAND,REE,Rare Earths,,MAJOR,2056138,286660.65,6335971.58,54,138.7140603,-33.0939645,138.71405009999998,-33.0939504,0
584,573,BELTANA NO.2,BAR,Barite,,MAJOR,210285,258470.85,6592041.58,54,138.4761645,-30.7801284,138.4761544,-30.780114299999997,0
10887,11693,BENDIGO WEST,Cu,Copper,,MAJOR,2095979,354348.85,6325890.88,54,139.4374432,-33.1960515,139.4374328,-33.1960375,0
7455,8730,BROOKSIDE,CLAY,Clay,,MAJOR,1276970,284295.52,6108711.3,54,138.63230719999999,-35.141386499999996,138.6322969,-35.1413724,0
3890,5140,H.R. NANKIVELL,SALT,Salt,,MAJOR,478284,747850.51,6135951.55,53,137.7120974,-34.8886214,137.71208719999998,-34.8886073,0
8820,9851,PHONE HILL,Pb,Lead,,MAJOR,1852483,629400.73,6383001.5,53,136.3802427,-32.6831044,136.3802329,-32.683090299999996,0
4989,6378,KIBBLE HILL,Cu,Copper,,MAJOR,479524,290210.73,6522391.48,54,138.7931274,-31.414153499999998,138.79311719999998,-31.414139399999996,0
356,363,GEORGE HILL,Fe,Iron,,MAJOR,210483,360370.82,6644261.53,53,133.54759520000002,-30.3254143,133.54758590000003,-30.3254001,0
5311,6757,VOGT,DOL,Dolomite,,MAJOR,479903,294440.74,6233451.46,54,138.7737793,-34.019459499999996,138.773769,-34.019445399999995,0
3930,5192,UNION VENTURE,Cu,Copper,,MAJOR,478336,740400.54,6223901.51,53,137.60587040000001,-34.0980934,137.60586030000002,-34.098079299999995,0
1974,3057,EAST LAGOON,Ag,Silver,,MINOR,374463,708019.65,6520983.45,53,137.18856359999998,-31.4271674,137.18855369999997,-31.4271533,1
2521,3520,WARDEN HILL,OPAL,Opal,,MAJOR,476663,709058.02,6630029.42,53,137.1770747,-30.443744399999996,137.1770648,-30.443730300000002,0
3374,4471,BELT BAY,CELES,Celestite,,MAJOR,477615,694220.75,6787511.54,53,136.9943358,-29.0258354,136.994326,-29.0258213,0
2417,3432,SCOTTS,SLAT,Slate,,MAJOR,476574,282969.43,6126255.23,54,138.6223522,-34.9830385,138.6223419,-34.9830244,0
5627,7158,COWELL JADE 86,JADE,Jade,,MAJOR,480304,680720.73,6292151.43,53,136.9453706,-33.4949114,136.9453606,-33.4948973,0
8124,9266,WATCHANIE NORTH,SAND,Sand,,MAJOR,1761426,661919.91,6287330.46,53,136.7439476,-33.5413864,136.74393769999998,-33.5413723,0
907,894,ANTRO WEST,Cu,Copper,?,MAJOR,209997,412570.66,6452381.47,54,140.0737842,-32.0614175,140.07377380000003,-32.0614035,0
6706,8127,PETERBOROUGH BATTERY,Au,Gold,,MAJOR,856402,296680.72,6349211.55,54,138.82429330000002,-32.9765445,138.824283,-32.9765304,0
5952,7454,BORAL GUERINS,SAND,Sand,,MAJOR,830584,348600.6,6115001.55,54,139.3389871,-35.0964265,139.3389766,-35.0964124,0
6110,7587,CLAYFIELDS,SAND,Sand,,MAJOR,830936,487580.58,5817471.52,54,140.8589457,-37.7900326,140.85893480000001,-37.790018599999996,0
5166,6559,YAPPALA NO.2,BAR,Barite,,MAJOR,479705,251120.87,6475121.52,54,138.37029750000002,-31.8324544,138.3702874,-31.8324403,0
1872,2213,J.F. BUTLER,Mn,Manganese,,MAJOR,269399,328558.42,6357328.27,54,139.16676030000002,-32.9088425,139.16675,-32.9088285,0
9852,10756,EURO WEST,Cu,Copper,,MAJOR,2015560,290328.92,6621920.11,54,138.8149115,-30.5167624,138.8149014,-30.5167484,0
5035,6425,NILDOTTIE,Pb,Lead,,MINOR,479571,318744.23,6563541.9,54,139.10057340000003,-31.047879499999997,139.1005632,-31.047865500000004,0
3449,4564,DEADMANS HILL,LMST,Limestone,,MAJOR,477708,311938.38,6109056.9,54,138.93562119999999,-35.143820500000004,138.9356108,-35.1438064,0
10385,11247,TELOWIE,MSLT,Metasiltstone,,MAJOR,2026100,227623.15,6346006.14,54,138.0850864,-32.9903694,138.0850763,-32.990355300000004,0
5494,7031,WAR LOAN NORTH,Cu,Copper,,MAJOR,480177,597210.82,6845241.54,53,135.9934379,-28.515924300000002,135.9934283,-28.5159102,0
9485,10430,LAKE TOM,PALY,Palygorskite,,MAJOR,1997236,406200.66,6548401.5,54,140.0154753,-31.1947105,140.01546489999998,-31.194696500000003,0
1798,2116,BLUE,Cu,Copper,,MAJOR,268267,330790.7,6658621.55,54,139.2423264,-30.192109499999997,139.24231619999998,-30.1920955,0
7953,9136,WEETULTA SOUTH,Cu,Copper,,MAJOR,1753820,742800.52,6208841.49,53,137.6360784,-34.233216399999996,137.63606830000003,-34.2332023,0
798,811,TALTABOOKA,Au,Gold,,MAJOR,210082,432840.7,6402871.51,54,140.2850101,-32.5094195,140.2849996,-32.5094055,0
7590,8857,MOJAVE,HMIN,Heavy Minerals,,MAJOR,1422417,317500.84,6570001.51,53,133.0887132,-30.989433299999998,133.0887039,-30.9894191,0
5971,7472,HARVEYS BREMER RIVER,SAND,Sand,,MAJOR,830694,318780.5,6102407.35,54,139.0092262,-35.2050005,139.0092158,-35.2049864,0
6230,7699,BUNGAMA,SAND,Sand,,MAJOR,831157,227991.02,6322531.49,54,138.0820344,-33.201933399999994,138.08202419999998,-33.2019193,0
6203,7669,ACI HALBURY,SIS,Silica sand,,MAJOR,831122,275993.51,6223033.35,54,138.57146730000002,-34.109556500000004,138.571457,-34.1095424,0
3507,4617,TEMPLE BAR,QTZE,Quartzite,,MAJOR,477761,301000.67,6106551.47,54,138.8150282,-35.1642915,138.81501780000002,-35.164277399999996,0
518,515,WESTERN RIVER,Ag,Silver,,MINOR,210315,677730.71,6049461.55,53,136.96402849999998,-35.682745399999995,136.96401840000001,-35.68273129999999,1
4365,5672,JACKSONS,Au,Gold,,MAJOR,478817,391976.04,6417826.87,54,139.8517302,-32.3713075,139.8517198,-32.3712935,0
4670,5976,BALLARAT SYNDICATE,Au,Gold,,MAJOR,479121,342950.67,6428251.56,54,139.3324863,-32.2714815,139.332476,-32.2714675,0
4133,5412,WONOKA,CLAY,Clay,,MAJOR,478556,280859.45,6122065.78,54,138.5981512,-35.0203285,138.5981409,-35.0203144,0
3604,4707,PHILCOX HILL,MARB,Marble,,MAJOR,477851,306630.72,6111976.49,54,138.87807619999998,-35.1165055,138.8780658,-35.1164914,0
10383,11245,BOW HILL RIDGE NO.3,CALI,Calcrete,,MAJOR,2026098,392995.8,6138350.8,54,139.82894299999998,-34.8916145,139.8289325,-34.8916005,0
9002,10023,GANDER,MSLT,Metasiltstone,,MAJOR,1904532,242490.89,6361451.53,54,138.24834740000003,-32.8548184,138.2483372,-32.8548043,0
6131,7604,PASCHKE,LMST,Limestone,,MAJOR,831005,411630.64,6214771.49,54,140.0407951,-34.2043355,140.0407846,-34.204321500000006,0
8350,9437,YAHL,SAND,Sand,,MAJOR,1770199,486380.63,5808941.51,54,140.8451567,-37.8668976,140.8451458,-37.8668836,0
10137,11030,MURRAYLANDS NO.8,CALI,Calcrete,,MAJOR,2016721,376236.83,6228934.92,54,139.6587121,-34.0730295,139.65870159999997,-34.073015500000004,0
6365,7822,CHINAMANS CREEK,SAND,Sand,,MAJOR,833765,752360.55,6408501.53,53,137.6839885,-32.432052399999996,137.6839785,-32.4320383,0
3268,4345,MOUNT ROSE BORE,Cu,Copper,,MAJOR,477488,301040.72,6637141.52,54,138.9293865,-30.3813185,138.9293764,-30.3813045,0
4472,5805,FORMBY,TALC,Talc,,MAJOR,478950,309450.69,6141841.52,54,138.9158362,-34.847915500000006,138.91582580000002,-34.8479014,0
3570,4677,QUEEN SOUTH,Au,Gold,,MAJOR,477821,297239.39,6111219.77,54,138.77490319999998,-35.1214765,138.7748928,-35.1214624,0
8604,9675,QUONDONG,MSLT,Metasiltstone,,MAJOR,1815995,332970.64,6215131.52,54,139.1873372,-34.1914455,139.18732680000002,-34.1914314,0
10554,11394,ENORAMA,MSLT,Metasiltstone,,MAJOR,2063243,280036.04,6533703.74,54,138.68866540000002,-31.310282399999995,138.6886552,-31.3102683,0
5562,7099,COWELL JADE 32,Ta,Tantalum,,MINOR,480245,678600.73,6291441.49,53,136.92270259999998,-33.5016674,136.9226926,-33.5016533,0
35,61,ALCURRA,Ni,Nickel,,MAJOR,210503,289460.86,7097401.59,53,132.89245640000001,-26.227574199999996,132.89244720000002,-26.227559999999997,0
2345,3386,MACKS,Pb,Lead,,MAJOR,476528,286495.84,6128185.56,54,138.6614512,-34.9663965,138.6614409,-34.96638239999999,0
396,415,LAKE LABYRINTH,Au,Gold,,MAJOR,210429,496808.31,6607138.8,53,134.96668200000002,-30.6684673,134.96667240000002,-30.6684531,0
5773,7309,WILKLOW,GRPH,Graphite,,MAJOR,480455,665600.72,6284391.47,53,136.7841196,-33.5673174,136.7841097,-33.5673033,0
10099,10993,MURRAYLANDS NO.1,CALI,Calcrete,,MAJOR,2016681,364068.44,6157002.41,54,139.51546409999997,-34.720014500000005,139.51545359999997,-34.7200005,0
5513,7053,WHYALLA GOLF COURSE,LMST,Limestone,,MAJOR,480199,740137.04,6343705.3,53,137.5708135,-33.0186804,137.5708034,-33.0186663,0
1890,3008,EAGLE,Fe,Iron,,MAJOR,307666,505921.5,6680674.39,53,135.061399,-30.0048613,135.0613895,-30.004847100000003,0
9239,10225,SWAN FREESTONE,SDST,Sandstone,,MAJOR,1986464,309660.67,6191021.56,54,138.9291772,-34.4047415,138.92916680000002,-34.4047274,0
5524,7063,ZEPHYR FARM,DOL,Dolomite,,MAJOR,480209,658900.67,6260671.5,53,136.7162086,-33.7821804,136.7161987,-33.78216629999999,0
8147,9280,WURKAGIE,Au,Gold,,MINOR,1761440,462129.27,6360672.79,53,134.595097,-32.8914623,134.5950875,-32.891448100000005,0
10958,11758,WOODS WELL,LMST,Limestone,,MAJOR,2096598,393235.17,6017366.99,54,139.815695,-35.9822945,139.8156844,-35.9822805,0
2015,3092,MIR,Au,Gold,,MAJOR,374526,430360.72,6610812.53,53,134.2733091,-30.6332903,134.2732997,-30.6332761,0
10170,11061,HANSON,SDST,Sandstone,,MAJOR,2016755,292748.71,6266276.11,54,138.7632003,-33.7233045,138.76318999999998,-33.723290399999996,0
9232,10218,PRICE PENINSULA,S,Sulphur,,MAJOR,1984523,766770.54,6790701.45,53,137.7379397,-28.9839594,137.73792980000002,-28.9839453,0
281,297,CARAPPEE HILL,SAND,Sand,,MAJOR,209876,613538.48,6296996.99,53,136.22175869999998,-33.4604604,136.2217489,-33.4604463,0
10563,11400,HORNES LODE,Cu,Copper,,MAJOR,2066935,330609.84,6139345.69,54,139.14664919999998,-34.8741555,139.1466388,-34.8741414,0
5152,6542,WARRAKIMBO,Cu,Copper,,MINOR,479688,226200.95,6461981.5,54,138.1035565,-31.9451394,138.10354640000003,-31.9451253,0
8003,9170,RONALDS WELL WEST,Cr,Chromium,,MAJOR,1754382,255600.91,7012871.59,53,132.5374584,-26.9847332,132.5374493,-26.984719000000002,0
7206,8513,QUARRY HILL,LSND,Lime sand,,MAJOR,1137106,460960.6,5833021.53,54,140.55744769999998,-37.6491296,140.5574368,-37.6491156,0
4654,5958,MOUNT KINGSTON NORTH,Au,Gold,,MINOR,479103,586250.35,6903669.17,53,135.87711299999998,-27.9893353,135.8771034,-27.9893212,0
883,879,GREEN AND GOLD,Au,Gold,,MINOR,210014,450503.9,6437389.38,54,140.4748501,-32.1989645,140.4748396,-32.1989505,0
7351,8630,SHERLOCK,Zn,Zinc,,MAJOR,1201685,387520.64,6087921.45,54,139.762176,-35.3456515,139.76216540000001,-35.3456375,0
6228,7698,CUNNINGHAMS NO.1,SDST,Sandstone,,MINOR,831156,226960.98,6323851.55,54,138.0713934,-33.1897824,138.0713833,-33.189768300000004,0
7564,8835,LEWISTON NORTH,SAND,Sand,,MAJOR,1421506,278030.73,6171386.5,54,138.5801983,-34.5753495,138.580188,-34.5753354,0
10577,11412,EMU ROCK,Cu,Copper,,MAJOR,2070202,273124.18,6255599.54,54,138.54882130000001,-33.8154945,138.548811,-33.8154804,0
5490,7026,COPPER TOP R1,U,Uranium,,MAJOR,480172,593200.81,6890211.49,53,135.948853,-28.1103353,135.94884340000002,-28.1103212,0
10319,11189,ILLALANGI,LMST,Limestone,,MAJOR,2018155,478327.76,5912634.46,54,140.7566427,-36.932080600000006,140.7566319,-36.932066600000006,0
8426,9499,MUDLAPENA,CLAY,Clay,,MAJOR,1801109,287723.82,6614117.27,54,138.7861825,-30.586663399999996,138.78617240000003,-30.5866494,0
10072,10966,PARNAROO NO.5,MSLT,Metasiltstone,,MAJOR,2016590,321047.3,6346293.43,54,139.08433530000002,-33.007122499999994,139.084325,-33.0071084,0
7013,8393,BELLS GULLY,GNSS,Gneiss,,MAJOR,1104695,288640.74,6096681.56,54,138.6768822,-35.2506935,138.67687180000001,-35.2506794,0
9956,10856,BOOLOOROO WEST,Cu,Copper,,MAJOR,2016209,261116.47,6629062.62,54,138.5123395,-30.4469114,138.5123294,-30.4468973,0
189,206,HOMESTEAD,GRPH,Graphite,,MAJOR,209789,561429.35,6146212.25,53,135.6717497,-34.8245094,135.6717399,-34.82449520000001,0
4863,6236,TEAGUE LIME,CALI,Calcrete,,MAJOR,479381,278640.78,6375631.48,54,138.6377084,-32.7349135,138.6376982,-32.7348994,0
7638,8900,WATSON,U,Uranium,,MAJOR,1497988,785000.49,6579601.51,52,131.98107140000002,-30.8825963,131.9810623,-30.8825821,0
3483,4594,HARVEYS,LMST,Limestone,,MAJOR,477738,308630.7,6099941.47,54,138.89721819999997,-35.2253365,138.89720780000002,-35.225322399999996,0
