,MINERAL_DEPOSIT_NO,DISCOVERY_YEAR,SITE_NO,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,SURVEY_METHOD,COMMODITY_NAME,SIGNIFICANCE,MINERAL,RELATIVE_ABUNDANCE_CODE,MINERAL_TYPE,WEATHERING_PRODUCT,Is_present
11984,3805,1960.0,476948,54,138.73,-33.49,Digital Image,Limestone,MAJOR,,,,,1
12053,3821,1950.0,476964,54,138.61,-33.83,Digital Image,Limestone,MAJOR,,,,,1
12059,3828,-,831112,54,138.65,-33.87,Google Earth image,Limestone,MINOR,,,,,1
12094,3853,1939.0,476996,54,138.65,-33.52,Google Earth image,Limestone,MAJOR,,,,,1
12125,3870,-,477013,54,138.39,-33.37,Digital Image,Limestone,MAJOR,,,,,1
12126,3871,1972.0,477014,54,138.39,-33.37,Digital Image,Limestone,MAJOR,,,,,1
12219,3939,1945.0,477082,54,138.81,-33.81,Google Earth image,Limestone,MAJOR,,,,,1
12301,3980,1947.0,477123,54,138.01,-33.02,Google Earth image,Limestone,MAJOR,,,,,1
12335,4008,1910.0,477151,54,139.06,-33.91,Google Earth image,Limestone,MINOR,Dolomite,MAJOR,GANGUE,N,1
12386,4021,1950.0,477164,54,138.19,-33.34,Digital Image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
12428,4045,1933.0,477188,54,138.58,-34.01,Google Earth image,Limestone,MAJOR,,,,,1
12578,4125,1942.0,477268,54,138.18,-35.52,Google Earth image,Limestone,MAJOR,Carbonate,MAJOR,ORE,U,1
13804,4564,1927.0,477708,54,138.94,-35.14,Google Earth image,Limestone,MAJOR,,,,,1
13820,4575,1937.0,477719,54,138.88,-35.23,Google Earth image,Limestone,MAJOR,,,,,1
13867,4594,1950.0,477738,54,138.9,-35.23,Google Earth image,Limestone,MAJOR,,,,,1
13938,4629,1947.0,477773,54,138.81,-35.06,Google Earth image,Limestone,MAJOR,,,,,1
14029,4682,1928.0,477826,54,138.96,-35.22,Google Earth image,Limestone,MAJOR,,,,,1
14107,4712,-,477856,54,139.0,-35.2,Google Earth image,Limestone,MAJOR,,,,,1
14116,4720,1920.0,477864,54,138.63,-35.53,Google Earth image,Limestone,MAJOR,,,,,1
14123,4727,1979.0,477871,54,138.75,-35.51,Google Earth image,Limestone,MINOR,,,,,1
14161,4784,1948.0,477928,54,138.7,-34.62,Google Earth image,Limestone,MAJOR,,,,,1
14178,4807,1938.0,477951,54,138.95,-35.56,Google Earth image,Limestone,MAJOR,,,,,1
14179,4808,1920.0,477952,54,138.77,-35.51,Google Earth image,Limestone,MAJOR,,,,,1
14357,4913,1919.0,478057,53,137.75,-35.08,Digital Image,Limestone,MAJOR,,,,,1
14360,4921,1960.0,832367,53,136.97,-35.03,Digital Image,Limestone,MINOR,Dolomite,ABUNDANT,ORE,N,1
14364,4928,1951.0,478072,53,137.7,-35.04,Google Earth image,Limestone,MAJOR,,,,,1
14384,4971,-,478115,53,137.61,-35.59,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
14395,4983,-,478127,53,136.94,-35.27,Google Earth image,Limestone,MAJOR,,,,,1
14398,4985,-,478129,53,137.65,-35.17,Google Earth image,Limestone,MINOR,Phosphate,MAJOR,ORE,N,1
14432,5040,1925.0,478184,53,136.25,-34.24,Google Earth image,Limestone,MAJOR,,,,,1
14455,5047,1888.0,478191,53,137.88,-34.56,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
14476,5059,1914.0,478203,53,137.8,-34.9,Google Earth image,Limestone,MAJOR,,,,,1
14506,5085,1863.0,478229,53,137.74,-34.72,Google Earth image,Limestone,MAJOR,Azurite,TRACE,ORE,Y,1
14535,5097,1907.0,478241,53,137.81,-34.86,Digital Image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
14676,5117,1913.0,478261,53,137.76,-34.96,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
14785,5145,1948.0,478289,53,137.75,-34.39,Google Earth image,Limestone,MAJOR,,,,,1
14865,5163,1911.0,478307,53,137.79,-34.93,Google Earth image,Limestone,MAJOR,,,,,1
14866,5164,1906.0,478344,53,137.35,-34.93,Google Earth image,Limestone,MAJOR,,,,,1
14960,5185,1916.0,478329,53,137.8,-34.88,"Sourced from documents (PLANS, ENV, RB,etc)",Limestone,MAJOR,,,,,1
14977,5199,1910.0,478343,53,137.34,-34.51,Google Earth image,Limestone,MINOR,Carbonate,ABUNDANT,ORE,N,1
14990,5208,1861.0,478352,53,137.61,-34.06,Google Earth image,Limestone,MINOR,Gold,RARE,ORE,U,1
15280,5271,1937.0,478415,54,138.92,-35.25,Google Earth image,Limestone,MAJOR,,,,,1
15293,5281,1924.0,478425,54,139.3,-35.08,Digital Image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
15294,5282,1949.0,478426,54,139.29,-35.09,Digital Image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
15295,5283,1972.0,478427,54,139.25,-35.18,Digital Image,Limestone,MINOR,Carbonate,ABUNDANT,ORE,N,1
15299,5292,1924.0,478436,54,139.29,-35.12,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
15308,5300,-,478444,54,139.26,-35.09,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
15311,5304,-,478448,54,139.03,-35.17,Google Earth image,Limestone,MAJOR,,,,,1
15341,5326,1925.0,478470,54,139.14,-35.11,Google Earth image,Limestone,MAJOR,,,,,1
15344,5328,1925.0,478472,54,139.15,-35.09,Digital Image,Limestone,MAJOR,,,,,1
15458,5415,1924.0,478559,54,138.52,-35.05,Google Earth image,Limestone,MAJOR,,,,,1
15461,5418,1920.0,478562,54,138.58,-35.25,Digital Image,Limestone,MAJOR,,,,,1
15527,5447,1925.0,478591,54,138.5,-35.19,Google Earth image,Limestone,MAJOR,,,,,1
15555,5471,-,478615,54,138.53,-35.15,Google Earth image,Limestone,MAJOR,,,,,1
15572,5484,1924.0,478628,54,138.51,-35.07,Google Earth image,Limestone,MAJOR,,,,,1
15597,5494,1862.0,478638,54,138.52,-35.05,Google Earth image,Limestone,MINOR,,,,,1
15599,5495,1920.0,478639,54,138.52,-35.06,Google Earth image,Limestone,MAJOR,,,,,1
15601,5496,1950.0,478640,54,138.54,-35.09,Google Earth image,Limestone,MAJOR,,,,,1
15706,5526,1925.0,478670,54,138.5,-35.19,Google Earth image,Limestone,MINOR,,,,,1
15707,5527,1930.0,478671,54,138.49,-35.15,Google Earth image,Limestone,MAJOR,,,,,1
15712,5530,1952.0,478674,54,138.53,-35.17,Google Earth image,Limestone,MAJOR,,,,,1
15744,5544,1890.0,478688,54,138.53,-35.09,Google Earth image,Limestone,MAJOR,,,,,1
15770,5550,1914.0,478694,54,138.51,-35.09,Google Earth image,Limestone,MINOR,,,,,1
15771,5552,-,478696,54,138.52,-35.09,Google Earth image,Limestone,MAJOR,,,,,1
15785,5569,1927.0,478713,54,138.51,-35.07,Google Earth image,Limestone,MAJOR,,,,,1
15831,5588,1926.0,478732,54,138.52,-35.16,Google Earth image,Limestone,MAJOR,,,,,1
16674,5891,1930.0,479036,54,138.78,-34.99,Google Earth image,Limestone,MAJOR,,,,,1
18430,6600,1971.0,479746,54,139.67,-35.36,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
18438,6614,1925.0,479760,54,140.96,-35.13,Google Earth image,Limestone,MINOR,,,,,1
18501,6661,1923.0,479807,53,137.72,-32.49,Google Earth image,Limestone,MINOR,,,,,1
18530,6684,1940.0,479830,54,139.96,-34.16,Google Earth image,Limestone,MAJOR,,,,,1
18537,6685,1940.0,479831,54,139.68,-34.37,Google Earth image,Limestone,MINOR,Carbonate,MINOR,GANGUE,N,1
18541,6691,1858.0,479837,54,140.34,-34.15,Google Earth image,Limestone,MAJOR,,,,,1
18543,6693,1959.0,479839,54,140.78,-34.12,Google Earth image,Limestone,MINOR,Silicate,MINOR,ORE,N,1
18544,6694,1941.0,479840,54,139.61,-34.56,Google Earth image,Limestone,MAJOR,,,,,1
18546,6698,1989.0,479844,54,140.43,-34.22,Digital Image,Limestone,MINOR,,,,,1
18548,6699,1922.0,479845,54,140.57,-34.44,Google Earth image,Limestone,MAJOR,,,,,1
18553,6710,1958.0,479856,54,140.32,-34.15,Google Earth image,Limestone,MINOR,,,,,1
18562,6721,1938.0,479867,54,140.9,-34.48,Google Earth image,Limestone,MAJOR,Halite,ABUNDANT,ORE,N,1
18565,6725,-,831065,54,140.66,-34.43,Google Earth image,Limestone,MAJOR,,,,,1
18572,6739,1956.0,479885,54,139.69,-34.07,Google Earth image,Limestone,MINOR,,,,,1
18573,6740,1940.0,831647,54,139.95,-34.15,Digital Image,Limestone,MAJOR,,,,,1
18981,6989,1966.0,480135,53,137.96,-34.07,Digital Image,Limestone,MAJOR,,,,,1
19096,7040,1951.0,480186,54,139.44,-35.24,Digital Image,Limestone,MAJOR,,,,,1
19097,7041,-,480187,54,139.47,-35.48,Google Earth image,Limestone,MAJOR,,,,,1
19099,7043,1959.0,480189,54,139.46,-35.25,Google Earth image,Limestone,MAJOR,,,,,1
19114,7053,1945.0,480199,53,137.57,-33.02,Google Earth image,Limestone,MAJOR,,,,,1
19137,7059,-,480205,53,137.6,-33.94,Google Earth image,Limestone,MAJOR,,,,,1
19145,7063,1938.0,480209,53,136.72,-33.78,"Sourced from documents (PLANS, ENV, RB,etc)",Limestone,MINOR,Dolomite,ABUNDANT,ORE,N,1
19595,7233,1925.0,480379,53,137.73,-33.95,Google Earth image,Limestone,MAJOR,,,,,1
19742,7299,1889.0,480445,53,137.6,-33.94,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
20056,7362,1940.0,480508,54,138.57,-35.28,Google Earth image,Limestone,MAJOR,,,,,1
20073,7370,1929.0,480516,54,138.48,-35.33,Google Earth image,Limestone,MAJOR,,,,,1
20086,7372,1950.0,480518,54,138.33,-35.44,Google Earth image,Limestone,MAJOR,,,,,1
20091,7374,1913.0,480520,54,138.33,-35.4,Google Earth image,Limestone,MINOR,Alunite,MINOR,ORE,Y,1
20096,7376,1940.0,480522,54,138.3,-35.47,Google Earth image,Limestone,MAJOR,,,,,1
20120,7379,1925.0,480525,54,138.48,-35.33,Google Earth image,Limestone,MAJOR,,,,,1
20166,7393,1974.0,480539,54,138.47,-35.34,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
20168,7394,1924.0,480540,54,138.48,-35.37,Google Earth image,Limestone,MAJOR,,,,,1
20190,7398,1942.0,480544,54,138.33,-35.43,Google Earth image,Limestone,MAJOR,,,,,1
20228,7420,1984.0,484594,54,138.87,-34.8,Digital Image,Limestone,MINOR,,,,,1
20272,7437,2002.0,830170,54,138.88,-35.5,Google Earth image,Limestone,MAJOR,,,,,1
20277,7441,1996.0,830262,54,138.26,-35.51,Digital Image,Limestone,MAJOR,,,,,1
20297,7455,1988.0,830585,54,139.34,-35.13,Digital Image,Limestone,MAJOR,,,,,1
20298,7456,1990.0,830586,54,139.34,-35.21,Digital Image,Limestone,MAJOR,,,,,1
20300,7458,1991.0,830588,54,139.37,-35.03,Digital Image,Limestone,MAJOR,,,,,1
20312,7471,1994.0,830680,54,139.26,-35.19,Google Earth image,Limestone,MINOR,Carbonate,MINOR,ORE,N,1
20320,7476,1978.0,830698,54,139.35,-35.14,Digital Image,Limestone,MAJOR,,,,,1
20321,7477,-,830700,54,139.29,-35.12,Google Earth image,Limestone,MAJOR,,,,,1
20336,7488,2000.0,830741,54,139.04,-35.19,Google Earth image,Limestone,MINOR,,,,,1
20492,7599,1949.0,831000,54,140.39,-34.22,Digital Image,Limestone,MINOR,,,,,1
20497,7604,1989.0,831005,54,140.04,-34.2,Digital Image,Limestone,MAJOR,,,,,1
20520,7624,1981.0,831046,54,140.84,-34.21,Google Earth image,Limestone,MINOR,,,,,1
20540,7642,1989.0,831081,54,140.56,-34.12,Digital Image,Limestone,MAJOR,,,,,1
20549,7652,2001.0,831092,54,139.79,-34.01,Digital Image,Limestone,MAJOR,,,,,1
20553,7656,1998.0,831108,54,138.86,-34.56,Google Earth image,Limestone,MINOR,,,,,1
20566,7665,1979.0,831117,54,138.91,-33.9,Google Earth image,Limestone,MINOR,,,,,1
20604,7701,1977.0,831159,54,138.16,-34.19,Digital Image,Limestone,MINOR,,,,,1
20610,7706,1976.0,831164,54,138.15,-34.19,Digital Image,Limestone,MINOR,Carbonate,ABUNDANT,ORE,N,1
20647,7741,1930.0,831646,54,139.91,-34.16,Google Earth image,Limestone,MAJOR,,,,,1
20648,7743,1930.0,831648,54,139.98,-34.16,Google Earth image,Limestone,MAJOR,,,,,1
20676,7770,2009.0,832068,54,139.64,-34.55,Digital Image,Limestone,MAJOR,,,,,1
20680,7774,1944.0,832188,54,138.43,-34.63,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
20683,7775,1963.0,832199,54,138.34,-34.51,Google Earth image,Limestone,MINOR,Carbonate,ABUNDANT,ORE,N,1
20688,7780,1956.0,832459,53,137.7,-34.7,Google Earth image,Limestone,MINOR,,,,,1
20693,7785,2000.0,832504,53,137.71,-34.76,Digital Image,Limestone,MAJOR,,,,,1
20707,7797,1979.0,832708,54,138.03,-33.86,Google Earth image,Limestone,MAJOR,,,,,1
20714,7800,2001.0,832729,53,137.98,-34.0,Digital Image,Limestone,MAJOR,,,,,1
20716,7801,2005.0,832731,54,138.06,-34.06,Google Earth image,Limestone,MAJOR,,,,,1
20851,7895,2005.0,836952,54,138.62,-34.02,Digital Image,Limestone,MINOR,,,,,1
20890,7930,1970.0,838046,54,138.54,-35.17,Google Earth image,Limestone,MAJOR,,,,,1
20892,7931,1986.0,838048,54,138.54,-35.18,Google Earth image,Limestone,MINOR,,,,,1
20898,7935,-,838053,54,138.84,-35.51,Google Earth image,Limestone,MAJOR,,,,,1
20899,7936,2001.0,838054,54,139.09,-35.38,Google Earth image,Limestone,MAJOR,,,,,1
20930,7963,1962.0,838159,54,138.78,-34.71,Google Earth image,Limestone,MINOR,,,,,1
20946,7974,1977.0,838713,54,138.72,-34.84,Google Earth image,Limestone,MINOR,,,,,1
21054,8061,1918.0,846440,53,137.88,-34.71,Digital Image,Limestone,MINOR,Allanite,MINOR,ORE,Y,1
21068,8074,1985.0,851294,53,136.9,-30.67,Google Earth image,Limestone,MAJOR,,,,,1
21069,8075,-,851331,53,136.92,-30.8,Google Earth image,Limestone,MAJOR,,,,,1
21113,8115,1987.0,856000,53,137.57,-35.65,Digital Image,Limestone,MAJOR,,,,,1
21118,8120,2005.0,856020,53,137.93,-35.82,Google Earth image,Limestone,MAJOR,,,,,1
21175,8166,1996.0,938091,53,137.05,-33.48,Digital Image,Limestone,MINOR,,,,,1
21238,8215,1986.0,1015328,53,136.86,-30.57,Google Earth image,Limestone,MAJOR,,,,,1
21283,8248,1908.0,1060968,54,139.48,-35.28,Digital Image,Limestone,MAJOR,,,,,1
21285,8250,1900.0,1361374,53,137.76,-34.99,Digital Image,Limestone,MAJOR,,,,,1
21287,8252,1897.0,1060973,53,137.76,-34.93,Digital Image,Limestone,MAJOR,,,,,1
21693,8383,2006.0,1096548,53,136.55,-33.11,Digital Image,Limestone,MINOR,,,,,1
21806,8425,1947.0,1115692,54,139.01,-34.38,Digital Image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
22495,8506,-,1133212,53,137.75,-34.02,Digital Image,Limestone,MAJOR,,,,,1
22520,8529,-,1137236,54,139.67,-35.39,Google Earth image,Limestone,MAJOR,,,,,1
22535,8542,2007.0,1147610,54,139.05,-34.71,Digital Image,Limestone,MINOR,,,,,1
22660,8562,-,1169355,53,137.87,-32.62,"Sourced from documents (PLANS, ENV, RB,etc)",Limestone,MAJOR,,,,,1
22664,8566,2007.0,1172911,53,137.7,-35.85,Google Earth image,Limestone,MAJOR,,,,,1
22780,8632,-,1201800,53,137.97,-35.83,Digital Image,Limestone,MAJOR,,,,,1
22783,8635,-,1201810,53,137.44,-35.65,Digital Image,Limestone,MAJOR,,,,,1
22808,8659,1997.0,1220485,54,139.01,-35.11,Google Earth image,Limestone,MAJOR,,,,,1
22811,8662,-,1220526,54,139.4,-35.23,Google Earth image,Limestone,MAJOR,,,,,1
22812,8663,-,1220527,54,139.4,-35.22,Google Earth image,Limestone,MAJOR,,,,,1
22813,8664,-,1220528,54,139.42,-35.23,Google Earth image,Limestone,MAJOR,,,,,1
22814,8665,-,1220529,54,139.35,-35.2,Google Earth image,Limestone,MAJOR,,,,,1
22838,8689,-,1220553,54,139.38,-35.57,Google Earth image,Limestone,MAJOR,,,,,1
22839,8690,-,1220554,54,139.57,-35.6,Google Earth image,Limestone,MAJOR,,,,,1
22852,8701,-,1220620,54,139.62,-35.63,Google Earth image,Limestone,MAJOR,,,,,1
22860,8709,-,1220628,54,139.33,-34.98,Google Earth image,Limestone,MAJOR,,,,,1
22868,8717,-,1221039,54,139.39,-34.87,Google Earth image,Limestone,MAJOR,,,,,1
22990,8780,2008.0,1369422,54,138.92,-35.26,Google Earth image,Limestone,MAJOR,,,,,1
23255,8914,1920.0,1585138,53,136.99,-35.22,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
23289,8938,2009.0,1605496,53,137.54,-35.61,Google Earth image,Limestone,MAJOR,,,,,1
23610,9022,2008.0,1629525,53,137.14,-35.65,Google Earth image,Limestone,MAJOR,,,,,1
23676,9050,1929.0,1739325,53,136.98,-35.03,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,U,1
23851,9107,1965.0,1753386,54,138.54,-31.36,"Sourced from documents (PLANS, ENV, RB,etc)",Limestone,MAJOR,,,,,1
24790,9344,1973.0,1765768,54,139.01,-30.02,Controlled AMG/MGA map,Limestone,MINOR,Carnotite,TRACE,ORE,N,1
25052,9446,-,1770278,54,139.38,-35.04,Google Earth image,Limestone,MAJOR,,,,,1
25206,9486,-,1783479,54,139.57,-34.7,Google Earth image,Limestone,MAJOR,,,,,1
25587,9625,-,1810901,54,138.51,-34.8,Google Earth image,Limestone,MAJOR,,,,,1
25681,9657,-,1814733,54,138.73,-33.47,Google Earth image,Limestone,MAJOR,,,,,1
25682,9658,-,1814734,54,138.73,-33.51,Google Earth image,Limestone,MAJOR,,,,,1
25683,9659,-,1814735,54,138.74,-33.46,Google Earth image,Limestone,MAJOR,,,,,1
25684,9660,-,1814736,54,138.74,-33.44,Google Earth image,Limestone,MAJOR,,,,,1
25685,9661,-,1814737,54,138.79,-33.37,Google Earth image,Limestone,MAJOR,,,,,1
25687,9663,-,1814739,54,138.76,-33.42,Google Earth image,Limestone,MAJOR,,,,,1
25688,9664,-,1814740,54,138.74,-33.5,Google Earth image,Limestone,MAJOR,,,,,1
25735,9700,-,1816196,53,136.86,-30.44,Google Earth image,Limestone,MAJOR,,,,,1
25736,9701,-,1816199,53,136.89,-30.44,Google Earth image,Limestone,MAJOR,,,,,1
25738,9703,-,1816243,54,138.57,-32.74,Google Earth image,Limestone,MAJOR,,,,,1
25826,9723,-,1843753,53,137.99,-34.21,Google Earth image,Limestone,MAJOR,,,,,1
25877,9751,1977.0,1849098,54,139.06,-34.45,Google Earth image,Limestone,MINOR,,,,,1
26076,9843,1925.0,1852419,54,139.16,-35.09,Google Earth image,Limestone,MAJOR,,,,,1
26199,9871,-,1852708,54,139.73,-35.37,Google Earth image,Limestone,MAJOR,,,,,1
26297,9916,1978.0,1901894,54,138.41,-30.52,Google Earth image,Limestone,MAJOR,,,,,1
26300,9918,1981.0,1901897,54,138.37,-30.9,Google Earth image,Limestone,MAJOR,,,,,1
26344,9957,1959.0,1904090,54,140.11,-34.19,"Sourced from documents (PLANS, ENV, RB,etc)",Limestone,MAJOR,,,,,1
26346,9958,1928.0,1904095,54,139.71,-34.03,Google Earth image,Limestone,MAJOR,,,,,1
26348,9960,1960.0,1988129,54,140.19,-34.15,Google Earth image,Limestone,MAJOR,,,,,1
26367,9979,-,1904213,54,140.05,-34.16,Google Earth image,Limestone,MINOR,,,,,1
26384,9996,-,1904230,54,140.19,-35.88,Google Earth image,Limestone,MAJOR,,,,,1
26788,10151,-,1983611,54,138.22,-35.53,Google Earth image,Limestone,MAJOR,,,,,1
26789,10153,1962.0,1983612,54,138.23,-35.53,Google Earth image,Limestone,MAJOR,,,,,1
26790,10154,-,1983614,54,139.2,-34.82,Google Earth image,Limestone,MAJOR,,,,,1
26791,10155,-,1983616,54,138.95,-34.35,Google Earth image,Limestone,MAJOR,,,,,1
26835,10172,1963.0,1983751,54,138.71,-33.05,Google Earth image,Limestone,MAJOR,,,,,1
26910,10222,-,1986435,54,139.33,-35.08,Google Earth image,Limestone,MAJOR,,,,,1
26911,10223,1924.0,1986439,54,139.3,-35.12,Google Earth image,Limestone,MAJOR,,,,,1
26912,10224,-,1986442,54,139.28,-35.11,Google Earth image,Limestone,MAJOR,,,,,1
27256,10361,1972.0,1996629,53,137.74,-35.02,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
27297,10398,-,1997200,54,140.48,-35.96,Google Earth image,Limestone,MAJOR,,,,,1
27381,10442,1974.0,1997333,53,137.87,-33.99,Google Earth image,Limestone,MAJOR,,,,,1
27382,10443,-,1997334,54,138.54,-31.71,Google Earth image,Limestone,MAJOR,,,,,1
27390,10452,-,1997352,53,136.99,-35.98,Google Earth image,Limestone,MAJOR,,,,,1
27394,10456,-,1997356,53,137.15,-35.99,Google Earth image,Limestone,MAJOR,,,,,1
27395,10457,-,1997357,53,137.16,-35.98,Google Earth image,Limestone,MAJOR,,,,,1
27398,10460,-,1997360,53,137.16,-35.64,Google Earth image,Limestone,MAJOR,,,,,1
27404,10466,-,1997367,53,137.47,-35.9,Google Earth image,Limestone,MAJOR,,,,,1
27405,10467,-,1997368,53,137.53,-35.92,Google Earth image,Limestone,MAJOR,,,,,1
27409,10471,-,1997372,53,137.56,-35.93,Google Earth image,Limestone,MAJOR,,,,,1
27411,10473,-,1997374,53,137.59,-35.65,Google Earth image,Limestone,MAJOR,,,,,1
27412,10474,-,1997375,53,137.61,-35.89,Google Earth image,Limestone,MAJOR,,,,,1
27414,10476,-,1997377,53,137.65,-35.86,Google Earth image,Limestone,MAJOR,,,,,1
27415,10477,-,1997378,53,137.73,-35.84,Google Earth image,Limestone,MAJOR,,,,,1
27416,10478,-,1997379,53,137.74,-35.82,Google Earth image,Limestone,MAJOR,,,,,1
27428,10485,2014.0,1997394,54,139.29,-34.94,Google Earth image,Limestone,MAJOR,,,,,1
27736,10609,1950.0,2008405,54,138.76,-34.86,Google Earth image,Limestone,MINOR,,,,,1
27785,10651,1960.0,2010330,54,139.75,-34.07,Google Earth image,Limestone,MAJOR,,,,,1
27952,10735,1920.0,2015143,54,139.28,-35.11,Google Earth image,Limestone,MAJOR,,,,,1
27953,10736,1950.0,2015145,54,139.29,-35.09,Google Earth image,Limestone,MAJOR,,,,,1
28037,10796,-,2015723,54,139.08,-34.47,Google Earth image,Limestone,MAJOR,,,,,1
28138,10860,-,2016219,53,137.06,-35.22,Google Earth image,Limestone,MAJOR,,,,,1
28139,10861,-,2016220,53,137.09,-35.22,Google Earth image,Limestone,MAJOR,,,,,1
28168,10886,-,2016358,53,136.83,-30.46,Google Earth image,Limestone,MAJOR,,,,,1
28169,10887,-,2016359,53,136.9,-30.45,Google Earth image,Limestone,MAJOR,,,,,1
28170,10888,-,2016360,53,136.91,-30.43,Google Earth image,Limestone,MAJOR,,,,,1
28391,11079,1975.0,2016822,54,139.27,-35.09,Google Earth image,Limestone,MAJOR,,,,,1
28392,11080,-,2016826,54,139.28,-35.08,Google Earth image,Limestone,MAJOR,,,,,1
28393,11081,-,2016831,54,139.3,-35.06,Google Earth image,Limestone,MAJOR,,,,,1
28461,11101,1959.0,2017184,54,138.31,-32.06,Google Earth image,Limestone,MAJOR,,,,,1
28462,11102,1959.0,2017183,54,138.34,-32.04,Google Earth image,Limestone,MAJOR,,,,,1
28463,11103,1959.0,2017182,54,138.32,-32.02,Google Earth image,Limestone,MAJOR,,,,,1
28596,11201,-,2018176,54,138.15,-32.07,Google Earth image,Limestone,MAJOR,,,,,1
28603,11208,-,2018194,54,139.34,-35.7,Google Earth image,Limestone,MAJOR,,,,,1
28604,11209,-,2018195,54,139.35,-35.68,Google Earth image,Limestone,MAJOR,,,,,1
28607,11212,-,2018198,54,139.29,-35.71,Google Earth image,Limestone,MAJOR,,,,,1
28608,11213,-,2018199,54,139.21,-35.69,Google Earth image,Limestone,MAJOR,,,,,1
28695,11238,-,2026070,54,139.93,-34.07,Google Earth image,Limestone,MAJOR,,,,,1
28706,11249,-,2026206,54,139.66,-35.38,Google Earth image,Limestone,MAJOR,,,,,1
28909,11317,1950.0,2054904,54,139.67,-34.04,Google Earth image,Limestone,MAJOR,,,,,1
29202,11494,-,2078035,54,138.34,-31.69,Google Earth image,Limestone,MAJOR,,,,,1
29393,11602,-,2090097,54,139.84,-35.77,Google Earth image,Limestone,MAJOR,,,,,1
29549,11674,-,2092858,53,137.99,-34.06,Google Earth image,Limestone,MAJOR,,,,,1
29666,11754,-,2096594,54,139.56,-35.95,Google Earth image,Limestone,MAJOR,,,,,1
29670,11758,-,2096598,54,139.82,-35.98,Google Earth image,Limestone,MAJOR,,,,,1
29671,11759,-,2096599,54,139.83,-35.91,Google Earth image,Limestone,MAJOR,,,,,1
29673,11761,-,2096601,54,139.71,-35.77,Google Earth image,Limestone,MAJOR,,,,,1
29674,11762,-,2096602,54,139.68,-35.81,Google Earth image,Limestone,MAJOR,,,,,1
