,MINERAL_DEPOSIT_NO,DISCOVERY_YEAR,SITE_NO,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,SURVEY_METHOD,COMMODITY_NAME,SIGNIFICANCE,MINERAL,RELATIVE_ABUNDANCE_CODE,MINERAL_TYPE,WEATHERING_PRODUCT,Is_present
4342,5576,1861.0,478720,54,138.57,-35.04,Google Earth image,Lead,MAJOR,Covellite,TRACE,ORE,N,1
4584,6196,1900.0,479341,54,138.22,-32.05,Google Earth image,Lead,MAJOR,Cerussite,MINOR,ORE,Y,1
4766,6348,1949.0,479494,54,138.53,-31.24,Google Earth image,Lead,MAJOR,Argentite,TRACE,ORE,N,1
4829,6455,1971.0,479601,54,138.53,-31.26,Google Earth image,Lead,MINOR,Chalcocite,TRACE,ORE,Y,1
5152,6923,1977.0,480069,53,137.34,-31.62,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
5347,7068,1924.0,480214,53,136.5,-33.7,Google Earth image,Lead,MAJOR,Argentite,TRACE,ORE,Y,1
5566,7174,1913.0,480320,53,136.74,-33.61,Google Earth image,Lead,MAJOR,Silver,RARE,ORE,Y,1
5587,7175,1908.0,480321,53,136.77,-33.61,Google Earth image,Lead,MAJOR,Argentite,RARE,ORE,Y,1
5617,7181,-,480327,53,136.51,-33.69,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Argentite,TRACE,ORE,N,1
5743,7226,1890.0,480372,53,136.78,-33.57,Google Earth image,Lead,MINOR,Argentite,TRACE,ORE,N,1
5802,7237,1910.0,480383,53,136.71,-33.63,Google Earth image,Lead,MAJOR,Argentite,RARE,ORE,N,1
5860,7257,1915.0,480403,53,136.52,-33.68,GPS type unknown,Lead,MAJOR,Argentite,TRACE,ORE,N,1
6054,7304,1874.0,480450,53,137.67,-33.98,Digital Image,Lead,MINOR,Amphibole,TRACE,GANGUE,N,1
6117,7310,1887.0,480456,53,136.79,-33.56,Google Earth image,Lead,MAJOR,Argentite,RARE,ORE,N,1
6139,7314,1880.0,480460,53,136.76,-33.63,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,TRACE,ORE,N,1
6166,7417,1969.0,481795,53,135.18,-31.23,Digital Image,Lead,MAJOR,Galena,TRACE,ORE,N,1
6289,7853,1988.0,834497,54,138.37,-30.6,Digital Image,Lead,MINOR,Clay mineral,MINOR,GANGUE,N,1
6296,7854,1966.0,834498,54,138.43,-30.68,Google Earth image,Lead,MINOR,Clay mineral,MINOR,GANGUE,N,1
6796,8341,2005.0,1081615,53,137.17,-32.53,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
6858,8384,2004.0,1096574,53,134.66,-30.38,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
6945,8437,1992.0,1129617,53,135.36,-28.91,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Chalcopyrite,TRACE,ORE,N,1
6983,8439,1991.0,1129637,53,136.6,-33.15,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Chalcopyrite,TRACE,ORE,N,1
7009,8442,1975.0,1129697,53,136.5,-33.64,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Bornite,RARE,ORE,N,1
7038,8448,1985.0,1130489,53,135.51,-33.78,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Argentite,RARE,ORE,N,1
7086,8464,2001.0,1130745,54,138.41,-30.64,Google Earth image,Lead,MINOR,Dolomite,ABUNDANT,GANGUE,N,1
7102,8481,1989.0,1132281,53,136.94,-32.63,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Biotite,TRACE,GANGUE,N,1
7138,8485,1989.0,1132287,53,136.9,-32.61,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Chalcopyrite,TRACE,ORE,N,1
7205,8498,1978.0,1132434,53,137.38,-32.74,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
7220,8502,1980.0,1132548,53,136.67,-32.64,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Cerussite,TRACE,ORE,Y,1
7226,8503,2011.0,1132549,53,136.61,-32.71,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Cerussite,TRACE,ORE,Y,1
7244,8504,1980.0,1132550,53,136.69,-32.84,Google Earth image,Lead,MAJOR,Galena,TRACE,ORE,N,1
7266,8545,1980.0,1165777,53,136.46,-32.69,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Gold,RARE,ORE,N,1
7304,8548,1998.0,1165780,53,136.51,-32.76,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
7344,8551,1981.0,1165783,53,135.67,-32.68,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
7356,8552,1993.0,1165785,53,135.74,-32.73,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Galena,TRACE,ORE,N,1
7423,8628,2006.0,1201648,53,135.68,-33.86,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Galena,TRACE,ORE,N,1
7576,8897,-,1497985,53,136.47,-32.65,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Galena,MINOR,ORE,N,1
7705,8963,1968.0,1620550,53,137.75,-33.96,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Chalcopyrite,TRACE,ORE,N,1
7724,8965,1975.0,1620552,53,137.82,-33.92,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Chalcopyrite,TRACE,ORE,N,1
7850,9099,1976.0,1751574,53,136.53,-31.19,Digital Image,Lead,MAJOR,Galena,MINOR,ORE,N,1
7864,9100,1974.0,1751575,53,137.54,-32.88,Digital Image,Lead,MINOR,Chalcocite,MINOR,ORE,N,1
7875,9101,1982.0,1751578,53,137.37,-32.69,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
7901,9106,1984.0,1753205,54,138.54,-31.38,Google Earth image,Lead,MINOR,Galena,TRACE,ORE,N,1
7907,9108,1949.0,1753387,54,138.52,-31.25,Google Earth image,Lead,MAJOR,Calcite,MINOR,GANGUE,N,1
8002,9150,1968.0,1753894,53,136.99,-31.95,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Argentite,RARE,ORE,N,1
8017,9151,1968.0,1753895,53,137.08,-31.94,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Argentite,RARE,ORE,N,1
8033,9152,2006.0,1753896,53,136.99,-31.54,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Chalcopyrite,MINOR,ORE,N,1
8044,9158,2000.0,1753917,53,135.78,-32.22,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Galena,MINOR,ORE,N,1
8062,9160,2007.0,1753924,53,135.19,-29.83,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
8074,9162,2006.0,1753929,53,135.22,-33.81,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Galena,TRACE,ORE,N,1
8135,9185,2007.0,1754418,53,135.49,-33.84,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Chalcopyrite,TRACE,ORE,N,1
8168,9200,1969.0,1754435,54,138.13,-30.82,Google Earth image,Lead,MAJOR,Galena,MINOR,ORE,N,1
8176,9201,-,1754436,54,138.14,-30.79,Google Earth image,Lead,MAJOR,Galena,MINOR,ORE,N,1
8204,9254,1973.0,1754506,53,137.36,-32.35,Digital Image,Lead,MINOR,Chalcopyrite,TRACE,ORE,N,1
8220,9263,1990.0,1755053,53,137.06,-32.68,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Galena,TRACE,ORE,N,1
8247,9267,1983.0,1761427,53,136.36,-32.76,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Chalcopyrite,TRACE,ORE,N,1
8255,9268,1983.0,1761428,53,136.13,-32.81,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Galena,TRACE,ORE,N,1
8263,9269,1983.0,1761429,53,136.34,-32.82,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Chalcopyrite,RARE,ORE,N,1
8269,9270,1984.0,1761430,53,136.3,-32.74,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Galena,TRACE,ORE,N,1
8278,9271,1984.0,1761431,53,136.33,-32.75,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Chalcopyrite,RARE,ORE,N,1
8347,9318,2004.0,1763987,53,136.42,-32.64,Controlled AMG/MGA map,Lead,MAJOR,Argentite,RARE,ORE,N,1
8380,9319,2009.0,1763988,53,136.42,-32.66,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,TRACE,ORE,N,1
8390,9321,1994.0,1763991,53,135.75,-34.54,Controlled AMG/MGA map,Lead,MINOR,Chalcopyrite,RARE,ORE,N,1
8435,9331,-,1765707,53,136.45,-33.66,GPS Averaged Position,Lead,MAJOR,Argentite,RARE,ORE,Y,1
8449,9334,2007.0,1765720,53,135.4,-34.12,Google Earth image,Lead,MINOR,Galena,RARE,ORE,N,1
8468,9342,1984.0,1765766,53,133.75,-27.29,Controlled AMG/MGA map,Lead,MINOR,Calcite,MAJOR,GANGUE,N,1
8492,9343,1984.0,1765767,53,132.28,-28.37,Controlled AMG/MGA map,Lead,MINOR,Barite,TRACE,GANGUE,N,1
8604,9416,-,1766929,53,136.45,-33.66,Google Earth image,Lead,MAJOR,Argentite,RARE,ORE,Y,1
8676,9472,1988.0,1770349,53,135.59,-32.93,Controlled AMG/MGA map,Lead,MAJOR,Chalcopyrite,RARE,ORE,N,1
8690,9476,1985.0,1770354,53,136.06,-32.67,Controlled AMG/MGA map,Lead,MAJOR,Arsenopyrite,TRACE,GANGUE,N,1
8699,9478,2010.0,1773213,53,136.01,-32.65,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Acanthite,MINOR,ORE,N,1
8799,9545,2010.0,1804159,53,136.04,-32.63,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
8933,9614,2012.0,1810545,53,136.91,-33.58,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
8956,9616,2009.0,1810876,54,138.44,-30.66,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Dolomite,MAJOR,GANGUE,N,1
9032,9712,2012.0,1840968,53,136.52,-32.65,Google Earth image,Lead,MAJOR,Cerussite,TRACE,ORE,Y,1
9107,9740,2013.0,1848730,53,136.45,-32.64,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,TRACE,ORE,N,1
9124,9760,2013.0,1850184,53,136.45,-32.6,Google Earth image,Lead,MINOR,Silver,RARE,ORE,N,1
9250,9849,2003.0,1865127,53,135.93,-29.74,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Chalcopyrite,TRACE,ORE,N,1
9263,9851,2012.0,1852483,53,136.38,-32.68,Google Earth image,Lead,MAJOR,Galena,RARE,ORE,N,1
9416,10239,2014.0,1987156,53,136.9,-32.63,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Galena,TRACE,ORE,N,1
9422,10241,2014.0,1987157,53,136.34,-32.68,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,,,,,1
9425,10242,2014.0,1987158,53,136.08,-32.62,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,,,,,1
9427,10243,2014.0,1987159,53,135.99,-32.63,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,,,,,1
9509,10420,1913.0,1997224,53,136.74,-33.62,Google Earth image,Lead,MINOR,Argentite,RARE,ORE,N,1
9589,10534,2000.0,2007047,53,137.12,-32.75,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,,,,,1
9680,10730,2014.0,2015020,53,136.44,-32.66,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Galena,MINOR,ORE,N,1
9782,11100,1969.0,2017171,54,138.14,-30.83,Google Earth image,Lead,MAJOR,Iron oxide (non specific),MINOR,GANGUE,Y,1
9859,11232,2016.0,2026048,53,136.99,-32.62,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Galena,TRACE,ORE,N,1
10000,11369,-,2059029,53,136.02,-32.66,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Chalcopyrite,RARE,ORE,N,1
10009,11379,2006.0,2059538,53,137.86,-33.78,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,,,,,1
10011,11380,2007.0,2059630,53,136.76,-32.63,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,,,,,1
10095,11531,1997.0,2078496,53,134.54,-30.33,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,,,,,1
10116,11544,1987.0,2081211,53,134.34,-30.41,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,,,,,1
10133,11567,1977.0,2086545,53,136.61,-31.59,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Chalcopyrite,RARE,ORE,N,1
10165,11612,1999.0,2090162,54,138.14,-30.8,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Cerussite,MINOR,ORE,Y,1
10184,11648,1996.0,2090540,53,133.68,-27.11,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,,,,,1
0,17,1899.0,210457,54,138.4,-30.88,Google Earth image,Copper,MAJOR,Bornite,TRACE,ORE,N,0
6,21,1899.0,210458,54,138.4,-30.87,Google Earth image,Copper,MAJOR,Barite,MINOR,GANGUE,N,0
12,33,1987.0,209556,52,131.92,-30.63,"Sourced from documents (PLANS, ENV, RB,etc)",Iron,MAJOR,Feldspar,MINOR,GANGUE,N,0
15,35,1970.0,209575,53,133.23,-26.94,Google Earth image,Copper,MAJOR,Cuprite,TRACE,ORE,Y,0
16,38,1903.0,209594,53,133.5,-26.93,Google Earth image,Gold,MAJOR,Gold,RARE,ORE,N,0
19,39,-,209593,53,133.48,-27.11,Google Earth image,Copper,MAJOR,Chalcocite,TRACE,ORE,Y,0
25,40,1970.0,209592,53,132.61,-26.98,Google Earth image,Chrysoprase,MAJOR,Chrysoprase,RARE,ORE,Y,0
26,41,-,209591,53,132.57,-26.99,Google Earth image,Copper,MAJOR,Chrysocolla,TRACE,ORE,Y,0
29,43,-,209589,53,133.01,-26.87,Google Earth image,Copper,MAJOR,Calcite,MAJOR,GANGUE,N,0
35,44,-,209588,53,132.98,-26.87,Google Earth image,Copper,MAJOR,Calcite,MAJOR,GANGUE,N,0
41,45,-,209587,53,132.94,-26.86,Google Earth image,Copper,MAJOR,Calcite,MAJOR,GANGUE,N,0
47,46,-,209586,53,132.96,-26.88,Google Earth image,Copper,MAJOR,Calcite,MAJOR,GANGUE,N,0
53,80,-,209626,53,137.14,-29.32,Map Plot,Celestite,MAJOR,Barite,MAJOR,GANGUE,N,0
56,81,1986.0,209625,53,137.12,-29.44,Map Plot,Celestite,MAJOR,Celestite,MINOR,ORE,N,0
58,82,-,209624,53,137.12,-29.42,Map Plot,Celestite,MAJOR,Barite,MAJOR,GANGUE,N,0
61,83,1987.0,209623,53,136.97,-29.32,Map Plot,Celestite,MAJOR,Barite,TRACE,GANGUE,N,0
64,84,1987.0,209622,53,136.74,-29.28,Map Plot,Celestite,MAJOR,Barite,TRACE,GANGUE,N,0
67,85,-,209621,53,137.56,-29.42,Map Plot,Celestite,MAJOR,Celestite,MINOR,ORE,N,0
69,86,-,209620,53,137.48,-29.41,Map Plot,Celestite,MAJOR,Barite,MAJOR,GANGUE,N,0
72,88,-,209632,53,137.33,-29.56,Map Plot,Celestite,MAJOR,Barite,MAJOR,GANGUE,N,0
75,89,1986.0,209643,53,136.85,-29.5,Map Plot,Celestite,MAJOR,Barite,MAJOR,GANGUE,N,0
78,90,1986.0,209642,53,136.83,-29.47,Map Plot,Celestite,MAJOR,Barite,MAJOR,GANGUE,N,0
81,91,1986.0,209641,53,136.9,-29.48,Map Plot,Celestite,MAJOR,Barite,MAJOR,GANGUE,N,0
84,92,1986.0,209640,53,136.86,-29.48,Map Plot,Celestite,MAJOR,Barite,MAJOR,GANGUE,N,0
87,93,1986.0,209639,53,136.86,-29.49,Google Earth image,Celestite,MAJOR,Barite,MAJOR,GANGUE,N,0
90,94,1969.0,209638,53,135.96,-27.5,Map Plot,Celestite,MAJOR,Celestite,MAJOR,ORE,N,0
93,95,1928.0,209637,53,135.14,-27.31,"Sourced from documents (PLANS, ENV, RB,etc)",Celestite,MAJOR,Celestite,MINOR,ORE,N,0
96,96,-,209677,53,135.08,-29.9,Google Earth image,Shale,MAJOR,,,,,0
97,97,1988.0,209676,53,134.8,-29.41,Google Earth image,Granite,MAJOR,,,,,0
99,98,1986.0,209675,53,135.15,-29.47,Google Earth image,Granite,MAJOR,,,,,0
100,99,-,209674,53,134.48,-29.14,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
101,100,-,209668,53,134.42,-28.83,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
102,101,-,209667,53,134.5,-28.85,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
103,102,-,209690,53,134.51,-28.87,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
104,103,1960.0,209689,53,134.56,-28.86,Google Earth image,Opal,MAJOR,Chalcedony,MINOR,GANGUE,N,0
106,104,1970.0,209688,53,134.58,-28.89,Google Earth image,Opal,MAJOR,Chalcedony,MINOR,GANGUE,N,0
108,105,-,209687,53,134.61,-28.94,Map Plot,Opal,MAJOR,Opal,,ORE,Y,0
109,106,-,209686,53,134.54,-28.96,Google Earth image,Opal,MAJOR,Opal,,ORE,Y,0
110,107,-,209685,53,134.51,-28.96,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
111,108,1980.0,209684,53,134.53,-28.98,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
112,109,-,209683,53,134.61,-28.96,Map Plot,Opal,MAJOR,Opal,RARE,ORE,N,0
113,110,1965.0,209679,53,134.65,-29.0,Map Plot,Opal,MAJOR,Opal,RARE,ORE,N,0
114,111,1965.0,209682,53,134.63,-29.01,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
115,112,1958.0,209681,53,134.64,-29.0,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
116,113,-,209680,53,134.66,-29.02,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
117,114,1963.0,209702,53,134.69,-29.01,Map Plot,Opal,MAJOR,Chalcedony,MINOR,GANGUE,N,0
119,115,1986.0,209701,53,134.68,-29.02,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
120,116,1981.0,209700,53,134.7,-29.02,Map Plot,Opal,MAJOR,Opal,RARE,ORE,N,0
121,117,-,209699,53,134.74,-29.03,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
122,118,-,209698,53,134.78,-29.03,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
123,119,1964.0,209697,53,134.76,-29.03,Google Earth image,Opal,MAJOR,Opal,,ORE,U,0
124,120,1962.0,209696,53,134.74,-29.04,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
125,121,1964.0,209695,53,134.68,-29.04,Google Earth image,Opal,MAJOR,Chalcedony,MINOR,GANGUE,N,0
127,122,1957.0,209694,53,134.66,-29.04,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
128,123,1946.0,209693,53,134.65,-29.03,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
129,124,1982.0,209673,53,134.66,-29.05,Google Earth image,Opal,MAJOR,Alunite,MINOR,GANGUE,N,0
131,125,1965.0,209672,53,134.7,-29.06,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
133,126,-,209671,53,134.75,-29.06,Map Plot,Opal,MAJOR,Opal,,ORE,Y,0
134,127,1973.0,209670,53,134.8,-29.06,Google Earth image,Opal,MAJOR,Opal,,ORE,N,0
135,128,1964.0,209669,53,134.77,-29.08,Google Earth image,Opal,MAJOR,Opal,,ORE,Y,0
136,129,-,209692,53,134.53,-28.82,Google Earth image,Opal,MAJOR,Opal,,ORE,Y,0
137,130,1923.0,209691,53,134.55,-28.82,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
139,131,1921.0,209713,53,134.59,-28.83,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
140,132,1971.0,209714,53,134.65,-28.83,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
141,133,1965.0,209712,53,134.62,-28.84,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
143,134,-,209711,53,134.62,-28.85,Google Earth image,Opal,MAJOR,Opal,,ORE,Y,0
144,135,1970.0,209710,53,134.66,-28.86,Google Earth image,Opal,MAJOR,Opal,,ORE,U,0
145,136,1948.0,209709,53,134.65,-28.89,Google Earth image,Opal,MAJOR,Opal,,ORE,Y,0
146,137,1963.0,209708,53,134.66,-28.9,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
148,138,1964.0,209707,53,134.67,-28.93,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
150,139,-,209706,53,134.67,-28.95,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
151,140,1973.0,209705,53,134.69,-28.97,Google Earth image,Opal,MAJOR,Opal,,ORE,Y,0
152,141,-,209704,53,134.7,-28.98,Map Plot,Opal,MAJOR,Opal,RARE,ORE,N,0
153,142,1976.0,209703,53,134.69,-28.99,Map Plot,Opal,MAJOR,Opal,RARE,ORE,N,0
154,143,1971.0,209725,53,134.7,-29.0,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
155,144,-,209726,53,134.71,-29.01,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
156,145,-,209724,53,134.73,-29.02,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
157,146,1939.0,209723,53,134.73,-29.02,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
158,147,1915.0,209722,53,134.74,-29.02,Google Earth image,Alunite,MINOR,Opal,RARE,ORE,N,0
160,148,1915.0,209721,53,134.76,-29.0,Google Earth image,Opal,MAJOR,Opal,,ORE,U,0
161,149,1915.0,209720,53,134.77,-29.01,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
162,150,1960.0,209719,53,134.78,-29.01,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
163,151,1964.0,209718,53,134.79,-29.01,Google Earth image,Opal,MAJOR,Opal,,ORE,U,0
164,152,1965.0,209717,53,134.79,-29.02,Google Earth image,Opal,MAJOR,Opal,RARE,ORE,N,0
